Complaint Type,Date,Time,Latitude,Longitude,Descriptor,Borough
Noise - Street/Sidewalk,9/22/2019,18:28:27,40.83076485,-73.91765103,Loud Talking,Bronx
Noise - Residential,9/22/2019,12:06:37,40.78049813,-73.95194731,Banging/Pounding,Manhattan
Noise - Residential,9/23/2019,19:41:10,40.85589944,-73.86866682,Banging/Pounding,Bronx
Noise - Vehicle,9/23/2019,22:42:04,40.66126693,-73.93233178,Car/Truck Music,Brooklyn
Noise - Street/Sidewalk,9/22/2019,23:49:36,40.82416166,-73.95297806,Loud Talking,Manhattan
Noise - Commercial,9/22/2019,22:40:52,40.67886149,-73.96397936,Loud Music/Party,Brooklyn
Noise - Residential,10/20/2019,13:48:50,40.85441179,-73.93712012,Loud Music/Party,Manhattan
Noise - Street/Sidewalk,9/22/2019,22:34:13,40.83137895,-73.92895353,Loud Music/Party,Bronx
Noise - Street/Sidewalk,9/23/2019,1:17:36,40.81823824,-73.85414156,Loud Music/Party,Bronx
Noise - Residential,9/22/2019,17:02:44,40.66826429,-73.93887088,Loud Music/Party,Brooklyn
Noise - Vehicle,9/23/2019,22:08:59,40.78529363,-73.96933478,Engine Idling,Manhattan
Noise - Vehicle,9/23/2019,0:16:23,40.73100011,-73.96114044,Car/Truck Music,Brooklyn
Noise - Street/Sidewalk,9/22/2019,22:43:52,40.84663211,-73.89124985,Loud Music/Party,Bronx
Noise - Park,9/22/2019,17:55:04,40.7786329,-73.9625461,Loud Music/Party,Manhattan
Noise - Vehicle,9/23/2019,23:42:54,40.73009935,-73.81090754,Car/Truck Horn,Queens
Noise - Street/Sidewalk,9/22/2019,18:00:31,40.69568854,-73.96049748,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/22/2019,19:32:02,40.81959696,-73.91817066,Loud Music/Party,Bronx
Noise - Street/Sidewalk,9/23/2019,20:01:42,40.63093704,-74.01283649,Loud Music/Party,Brooklyn
Noise - Vehicle,9/23/2019,11:16:38,40.71871595,-73.80382951,Car/Truck Horn,Queens
Noise - Residential,10/13/2019,2:27:30,40.61903989,-73.91044873,Loud Music/Party,Brooklyn
Noise - Residential,10/26/2019,0:03:18,40.85600418,-73.86665672,Loud Music/Party,Bronx
Noise - Vehicle,9/23/2019,8:15:19,40.72219827,-74.01044055,Engine Idling,Manhattan
Noise - Residential,9/23/2019,22:13:59,40.60357425,-73.94249534,Loud Music/Party,Brooklyn
Noise - Residential,9/23/2019,22:32:54,40.60222883,-74.12154315,Loud Television,Staten Island
Noise - Residential,9/22/2019,19:44:47,40.70178324,-73.92055494,Loud Music/Party,Brooklyn
Noise - Commercial,9/23/2019,7:19:40,40.76653685,-73.98839728,Banging/Pounding,Manhattan
Noise - Vehicle,9/23/2019,11:16:38,40.71871595,-73.80382951,Car/Truck Horn,Queens
Noise - Residential,9/22/2019,20:40:08,40.69919546,-73.90664089,Loud Music/Party,Queens
Noise - Residential,9/23/2019,23:32:22,40.84690535,-73.89286866,Loud Music/Party,Bronx
Noise - Residential,9/23/2019,23:17:00,40.75940015,-73.96147401,Banging/Pounding,Manhattan
Noise - Street/Sidewalk,9/23/2019,17:35:16,40.81959696,-73.91817066,Loud Music/Party,Bronx
Noise - Street/Sidewalk,9/23/2019,19:43:57,40.86873501,-73.91752446,Loud Music/Party,Manhattan
Noise - Vehicle,9/23/2019,23:24:02,40.87803319,-73.85314252,Car/Truck Music,Bronx
Noise - Street/Sidewalk,9/22/2019,22:22:38,40.60785119,-73.9948643,Loud Talking,Brooklyn
Noise - Street/Sidewalk,9/22/2019,23:28:26,40.67615109,-73.92659528,Loud Music/Party,Brooklyn
Noise - Residential,9/23/2019,0:47:46,40.66819119,-73.95266266,Loud Music/Party,Brooklyn
Noise - Commercial,9/22/2019,22:22:42,40.72686979,-73.9889093,Loud Music/Party,Manhattan
Noise - Vehicle,9/24/2019,0:41:07,40.66638461,-73.92158117,Car/Truck Music,Brooklyn
Noise - Street/Sidewalk,9/23/2019,22:47:53,40.74162587,-73.8791769,Loud Music/Party,Queens
Noise - Residential,11/18/2019,22:37:16,40.64287552,-74.02176792,Banging/Pounding,Brooklyn
Noise - Commercial,9/22/2019,21:02:53,40.84641499,-73.90003679,Loud Music/Party,Bronx
Noise - Residential,9/22/2019,19:25:35,40.57502723,-73.96782224,Banging/Pounding,Brooklyn
Noise - Residential,9/22/2019,20:08:43,40.83312595,-73.87053307,Loud Music/Party,Bronx
Noise - Residential,9/23/2019,20:20:23,40.82728576,-73.88954706,Banging/Pounding,Bronx
Noise - Residential,9/23/2019,23:19:04,40.62396722,-74.0816039,Loud Talking,Staten Island
Noise - Vehicle,9/23/2019,18:48:28,40.63435441,-73.90197936,Car/Truck Music,Brooklyn
Noise - Street/Sidewalk,9/23/2019,22:33:05,40.67471279,-73.94083695,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/23/2019,21:25:36,40.6752129,-73.9191842,Loud Talking,Brooklyn
Noise - Residential,10/27/2019,1:59:23,40.7640939,-73.93708265,Loud Music/Party,Queens
Noise - Street/Sidewalk,9/22/2019,17:55:22,40.87828005,-73.90218026,Loud Music/Party,Bronx
Noise - Residential,9/23/2019,18:57:14,40.64384289,-73.92757492,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/23/2019,21:48:20,40.7254559,-73.94776223,Loud Talking,Brooklyn
Noise - Residential,9/22/2019,17:05:19,40.68257814,-73.83524613,Loud Music/Party,Queens
Noise - Commercial,9/22/2019,19:08:26,40.69503014,-73.91169538,Loud Music/Party,Brooklyn
Noise - Residential,10/27/2019,3:02:58,40.63728887,-73.99132382,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/22/2019,20:30:00,40.63093704,-74.01283649,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,18:23:21,40.70578404,-73.80958791,Banging/Pounding,Queens
Noise - Street/Sidewalk,9/23/2019,18:35:43,40.71324863,-73.74264617,Loud Talking,Queens
Noise - Residential,9/22/2019,13:38:39,40.68690253,-73.82144706,Loud Music/Party,Queens
Noise - Commercial,9/22/2019,21:04:20,40.82351924,-73.95258829,Loud Music/Party,Manhattan
Noise - Residential,11/14/2019,12:59:06,40.68854911,-73.98100087,Loud Talking,Brooklyn
Noise - Street/Sidewalk,9/23/2019,15:59:15,40.70532674,-73.85783667,Loud Music/Party,Queens
Noise - Residential,9/23/2019,18:04:27,40.70024227,-73.90794857,Loud Music/Party,Queens
Noise - Street/Sidewalk,9/24/2019,1:22:28,40.76383307,-73.72418088,Loud Music/Party,Queens
Noise - Vehicle,10/27/2019,4:09:14,40.81718251,-73.94234328,Car/Truck Music,Manhattan
Noise - Residential,9/22/2019,22:41:31,40.73046526,-73.79690704,Loud Music/Party,Queens
Noise - Residential,9/22/2019,20:24:44,40.66193511,-73.94485998,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/23/2019,20:52:45,40.80596349,-73.94523553,Loud Music/Party,Manhattan
Noise - Residential,9/22/2019,12:10:14,40.75354978,-73.82609052,Banging/Pounding,Queens
Noise - Commercial,9/23/2019,21:04:36,40.80009803,-73.91023766,Loud Music/Party,Bronx
Noise - Residential,9/22/2019,12:15:06,40.7367755,-73.76248841,Banging/Pounding,Queens
Noise - Street/Sidewalk,9/22/2019,21:16:01,40.67082331,-73.93547635,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,21:53:58,40.59492232,-73.98491275,Banging/Pounding,Brooklyn
Noise - Vehicle,9/23/2019,16:09:08,40.85000454,-73.83124576,Engine Idling,Bronx
Noise - Residential,9/22/2019,22:07:42,40.66320531,-73.94946904,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/22/2019,20:42:14,40.68031448,-73.93031146,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/22/2019,22:54:27,40.8172821,-73.93853891,Loud Music/Party,Manhattan
Noise - Helicopter,9/23/2019,11:21:14,40.72195913,-73.80969682,Other,Queens
Noise - Residential,9/22/2019,22:44:44,40.67232223,-73.95304185,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/22/2019,23:42:27,40.85329034,-73.92957355,Loud Music/Party,Manhattan
Noise - Park,9/23/2019,9:15:56,40.63068197,-74.01097024,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/23/2019,23:03:06,40.66318981,-73.94557262,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/24/2019,0:00:14,40.8660801,-73.8691565,Loud Music/Party,Bronx
Noise - Residential,9/22/2019,15:24:44,40.72062282,-73.74465959,Loud Music/Party,Queens
Noise - Residential,11/16/2019,16:16:28,40.69164222,-73.85202051,Loud Music/Party,Queens
Noise - Vehicle,9/22/2019,17:26:49,40.86912202,-73.89106121,Car/Truck Music,Bronx
Noise - Residential,9/22/2019,23:00:54,40.68678006,-73.8428619,Loud Music/Party,Queens
Noise - Residential,9/23/2019,18:24:57,40.83778102,-73.94685729,Banging/Pounding,Manhattan
Noise - Residential,9/22/2019,22:40:00,40.68257539,-73.83524614,Loud Music/Party,Queens
Noise - Residential,9/22/2019,18:11:15,40.75940015,-73.96147401,Banging/Pounding,Manhattan
Noise - Commercial,10/12/2019,0:06:42,40.71522127,-73.99171409,Loud Music/Party,Manhattan
Noise - Vehicle,9/23/2019,0:29:20,40.73009935,-73.81090754,Car/Truck Horn,Queens
Noise - Residential,9/23/2019,14:25:48,40.8257046,-73.88106212,Banging/Pounding,Bronx
Noise - Commercial,9/24/2019,0:40:20,40.70220003,-73.91995575,Loud Music/Party,Brooklyn
Noise - Residential,9/23/2019,22:01:17,40.69725221,-73.90337269,Loud Music/Party,Queens
Noise - Residential,9/22/2019,20:37:45,40.64384377,-73.94981161,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,22:33:35,40.73046526,-73.79690704,Loud Music/Party,Queens
Noise - Street/Sidewalk,9/23/2019,22:33:05,40.67471279,-73.94083695,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/22/2019,11:45:06,40.75186112,-73.99371628,Loud Music/Party,Manhattan
Noise - Vehicle,9/23/2019,21:53:00,40.78648557,-73.97217258,Engine Idling,Manhattan
Noise - Residential,10/12/2019,22:59:19,40.57747575,-74.12196609,Loud Music/Party,Staten Island
Noise - Commercial,9/23/2019,19:07:29,40.83036236,-73.86602154,Loud Talking,Bronx
Noise - Commercial,11/17/2019,12:40:26,40.73830209,-74.00555713,Loud Talking,Manhattan
Noise - Helicopter,9/23/2019,17:19:19,40.68345446,-73.87013139,NYPD,Brooklyn
Noise - Street/Sidewalk,9/22/2019,21:20:38,40.82811584,-73.94463554,Loud Music/Party,Manhattan
Noise - Residential,9/22/2019,22:46:28,40.71752852,-73.96019594,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,19:41:41,40.73028909,-73.98334505,Banging/Pounding,Manhattan
Noise - Street/Sidewalk,10/12/2019,1:32:04,40.70281116,-73.90768895,Loud Music/Party,Queens
Noise - Vehicle,11/24/2019,16:53:29,40.71871595,-73.80382951,Car/Truck Horn,Queens
Noise - Vehicle,9/22/2019,21:27:43,40.83541201,-73.94615449,Car/Truck Horn,Manhattan
Noise - Commercial,10/20/2019,5:33:06,40.72696506,-73.95306829,Loud Music/Party,Brooklyn
Noise - Vehicle,9/22/2019,21:39:05,40.84723274,-73.90637529,Car/Truck Music,Bronx
Noise - Vehicle,9/22/2019,22:28:26,40.84698426,-73.91512977,Car/Truck Music,Bronx
Noise - Vehicle,9/22/2019,12:35:18,40.72238703,-73.80952604,Car/Truck Horn,Queens
Noise - Residential,9/22/2019,22:21:34,40.63914836,-74.11418427,Loud Music/Party,Staten Island
Noise - Vehicle,9/24/2019,0:47:37,40.66638461,-73.92158117,Car/Truck Music,Brooklyn
Noise - Residential,9/22/2019,23:19:05,40.67878236,-73.87718165,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,19:20:15,40.61030077,-73.95952155,Loud Music/Party,Brooklyn
Noise - Residential,10/3/2019,21:40:50,40.84623822,-73.93254843,Loud Music/Party,Manhattan
Noise - Residential,9/23/2019,22:03:03,40.85586473,-73.86475556,Loud Music/Party,Bronx
Noise - Residential,9/22/2019,22:59:56,40.69087765,-73.8573374,Loud Music/Party,Queens
Noise - Street/Sidewalk,9/22/2019,23:34:27,40.85284555,-73.9293463,Loud Music/Party,Manhattan
Noise - Street/Sidewalk,9/23/2019,9:23:48,40.63637792,-74.00062692,Loud Music/Party,Brooklyn
Noise - Residential,9/24/2019,0:10:40,40.670887,-73.93648926,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/23/2019,22:40:03,40.79438124,-73.93556968,Loud Music/Party,Manhattan
Noise - Residential,9/23/2019,4:12:59,40.83951512,-73.88842087,Banging/Pounding,Bronx
Noise - Street/Sidewalk,9/22/2019,22:23:21,40.71324863,-73.74264617,Loud Talking,Queens
Noise - Residential,9/23/2019,21:17:15,40.75394,-73.88296968,Loud Music/Party,Queens
Noise - Residential,9/22/2019,20:10:34,40.65697061,-73.89482077,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,10/3/2019,22:37:31,40.65941518,-73.93898351,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,11/10/2019,0:42:32,40.64136974,-73.90820995,Loud Music/Party,Brooklyn
Noise - Vehicle,9/23/2019,8:15:17,40.72195913,-73.80969682,Car/Truck Horn,Queens
Noise - Residential,9/22/2019,23:32:15,40.78879016,-73.85423858,Loud Talking,Queens
Noise - Commercial,9/23/2019,18:32:32,40.75494638,-73.99998195,Banging/Pounding,Manhattan
Noise - Residential,9/22/2019,16:26:12,40.71271446,-73.98379673,Loud Talking,Manhattan
Noise - Residential,9/24/2019,0:34:27,40.90560907,-73.84889239,Loud Music/Party,Bronx
Noise - Residential,9/22/2019,16:13:25,40.87850974,-73.9077994,Loud Music/Party,Bronx
Noise - Residential,9/23/2019,20:55:44,40.63963678,-73.94547653,Banging/Pounding,Brooklyn
Noise - Residential,9/23/2019,19:12:31,40.88314154,-73.83328447,Loud Talking,Bronx
Noise - Residential,9/22/2019,19:48:03,40.70578404,-73.80958791,Banging/Pounding,Queens
Noise - Residential,9/22/2019,21:44:26,40.76966917,-73.87175033,Loud Talking,Queens
Noise - Vehicle,9/23/2019,20:57:55,40.77386967,-73.900597,Car/Truck Music,Queens
Noise - Street/Sidewalk,9/23/2019,2:22:44,40.84554119,-73.93276961,Loud Talking,Manhattan
Noise - Vehicle,9/22/2019,22:37:05,40.86304898,-73.92291469,Car/Truck Music,Manhattan
Noise - Residential,9/22/2019,23:02:42,40.69478477,-73.9215694,Loud Music/Party,Brooklyn
Noise - Residential,9/23/2019,21:45:29,40.6885006,-73.93718644,Loud Television,Brooklyn
Noise - Street/Sidewalk,9/22/2019,11:45:06,40.75186112,-73.99371628,Loud Music/Party,Manhattan
Noise - Residential,9/22/2019,14:18:23,40.68438288,-73.82326022,Loud Music/Party,Queens
Noise - Residential,9/22/2019,18:46:37,40.86347591,-73.92107761,Banging/Pounding,Manhattan
Noise - Residential,9/23/2019,17:49:41,40.62396722,-74.0816039,Loud Talking,Staten Island
Noise - Street/Sidewalk,9/22/2019,19:35:40,40.86998761,-73.89511297,Loud Music/Party,Bronx
Noise - Residential,9/22/2019,12:55:02,40.69460843,-73.92898027,Loud Music/Party,Brooklyn
Noise - Commercial,9/22/2019,22:12:58,40.82607758,-73.87815275,Loud Talking,Bronx
Noise - Vehicle,9/22/2019,22:41:48,40.73009935,-73.81090754,Car/Truck Horn,Queens
Noise - Street/Sidewalk,9/23/2019,20:05:54,40.69925579,-73.90657949,Loud Music/Party,Queens
Noise - Residential,9/23/2019,20:12:19,40.85213392,-73.89276626,Banging/Pounding,Bronx
Noise - Street/Sidewalk,9/23/2019,1:43:04,40.84332822,-73.93629933,Loud Talking,Manhattan
Noise - Residential,9/23/2019,12:36:46,40.595432,-73.95187165,Loud Music/Party,Brooklyn
Noise - Vehicle,9/23/2019,19:18:57,40.84529999,-73.93826002,Car/Truck Music,Manhattan
Noise - Street/Sidewalk,9/22/2019,20:08:12,40.81976407,-73.95161908,Loud Music/Party,Manhattan
Noise - Residential,9/22/2019,23:08:16,40.75595167,-73.88827208,Loud Music/Party,Queens
Noise - Street/Sidewalk,9/24/2019,0:26:33,40.73608233,-73.84960882,Loud Talking,Queens
Noise - Residential,9/22/2019,17:47:17,40.77437336,-73.99155509,Loud Talking,Manhattan
Noise - Commercial,9/23/2019,21:04:36,40.80009803,-73.91023766,Loud Music/Party,Bronx
Noise - Vehicle,9/22/2019,19:52:21,40.82874157,-73.95051769,Car/Truck Music,Manhattan
Noise - Helicopter,9/22/2019,21:46:10,40.70661349,-73.85519734,Other,Queens
Noise - Street/Sidewalk,9/22/2019,12:52:50,40.69460843,-73.92898027,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,23:27:44,40.69478477,-73.9215694,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,12:51:42,40.69460843,-73.92898027,Loud Music/Party,Brooklyn
Noise - Residential,10/12/2019,23:57:58,40.67064683,-73.95044032,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,22:59:56,40.69087765,-73.8573374,Loud Music/Party,Queens
Noise - Residential,9/22/2019,23:25:59,40.87218409,-73.8990001,Loud Music/Party,Bronx
Noise - Street/Sidewalk,9/23/2019,0:10:03,40.71946769,-73.99774892,Loud Music/Party,Manhattan
Noise - Street/Sidewalk,9/22/2019,20:19:06,40.85153916,-73.92948143,Loud Talking,Manhattan
Noise - Street/Sidewalk,9/23/2019,20:20:55,40.79065131,-73.83992265,Loud Music/Party,Queens
Noise - Street/Sidewalk,9/23/2019,13:06:54,40.86982887,-73.90186728,Loud Music/Party,Bronx
Noise - Street/Sidewalk,9/22/2019,19:32:02,40.81959696,-73.91817066,Loud Music/Party,Bronx
Noise - Residential,9/22/2019,19:34:57,40.64947167,-73.94058545,Loud Music/Party,Brooklyn
Noise - Helicopter,9/22/2019,17:14:34,40.66468291,-73.97875483,Other,Brooklyn
Noise - Residential,9/22/2019,22:36:06,40.8493407,-73.91342792,Banging/Pounding,Bronx
Noise - Residential,9/22/2019,17:46:57,40.87964854,-73.86097165,Loud Music/Party,Bronx
Noise - Commercial,9/22/2019,17:44:13,40.82686433,-73.92530889,Loud Music/Party,Bronx
Noise - Residential,10/13/2019,20:30:40,40.79498512,-73.94637138,Banging/Pounding,Manhattan
Noise - Street/Sidewalk,9/23/2019,21:58:19,40.83419169,-73.94852608,Loud Talking,Manhattan
Noise - Vehicle,9/23/2019,2:41:33,40.64822317,-73.9606481,Car/Truck Music,Brooklyn
Noise - Vehicle,9/23/2019,19:58:46,40.81471106,-73.86524742,Car/Truck Music,Bronx
Noise - Street/Sidewalk,9/23/2019,18:01:23,40.66957638,-73.9573335,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,10/26/2019,0:19:45,40.78664642,-73.95214871,Loud Talking,Manhattan
Noise - Street/Sidewalk,9/22/2019,15:09:44,40.72546472,-73.99187877,Loud Music/Party,Manhattan
Noise - Street/Sidewalk,9/22/2019,12:54:01,40.69460843,-73.92898027,Loud Talking,Brooklyn
Noise - Residential,9/22/2019,18:59:12,40.6961755,-73.94937913,Loud Television,Brooklyn
Noise - Street/Sidewalk,9/22/2019,23:06:35,40.84096775,-73.91133903,Loud Music/Party,Bronx
Noise - Helicopter,9/22/2019,17:13:07,40.78293886,-73.98384102,Other,Manhattan
Noise - Residential,9/23/2019,19:04:25,40.81752496,-73.9530261,Loud Music/Party,Manhattan
Noise - Residential,10/26/2019,21:41:53,40.63686342,-74.11816533,Loud Talking,Staten Island
Noise - Residential,9/22/2019,20:58:24,40.79083983,-73.95085282,Loud Music/Party,Manhattan
Noise - Street/Sidewalk,9/23/2019,13:18:00,40.74286393,-74.00396965,Loud Music/Party,Manhattan
Noise - Residential,9/22/2019,16:30:17,40.86708854,-73.88573889,Loud Music/Party,Bronx
Noise - Street/Sidewalk,9/22/2019,21:41:56,40.60494023,-73.95247342,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/22/2019,21:58:56,40.86309839,-73.92292186,Loud Music/Party,Manhattan
Noise - Residential,9/23/2019,23:03:21,40.67733946,-73.90740695,Loud Music/Party,Brooklyn
Noise - Residential,9/23/2019,20:58:30,40.7024613,-73.76560775,Loud Music/Party,Queens
Noise - Street/Sidewalk,9/22/2019,22:31:34,40.84897036,-73.91369588,Loud Music/Party,Bronx
Noise - Residential,9/23/2019,23:45:08,40.66853904,-73.89694736,Loud Music/Party,Brooklyn
Noise - Commercial,9/23/2019,19:27:04,40.69590429,-73.94455781,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/23/2019,0:14:10,40.81452987,-73.86521889,Loud Music/Party,Bronx
Noise - Vehicle,9/23/2019,15:32:33,40.68318496,-73.94443498,Car/Truck Music,Brooklyn
Noise - Residential,9/23/2019,19:45:04,40.57808888,-73.9723854,Loud Music/Party,Brooklyn
Noise - Residential,9/24/2019,1:42:08,40.83166976,-73.92875447,Banging/Pounding,Bronx
Noise - Residential,10/26/2019,19:43:37,40.68844537,-73.87592706,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/23/2019,0:12:13,40.73103287,-73.96060281,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/22/2019,20:19:06,40.85153916,-73.92948143,Loud Talking,Manhattan
Noise - Street/Sidewalk,9/23/2019,0:11:15,40.84164409,-73.92042406,Loud Music/Party,Bronx
Noise - Street/Sidewalk,11/18/2019,2:22:12,40.71761282,-73.95797734,Loud Music/Party,Brooklyn
Noise - Residential,9/23/2019,10:08:32,40.69363909,-73.82201321,Loud Music/Party,Queens
Noise - Vehicle,9/23/2019,19:18:57,40.84529999,-73.93826002,Car/Truck Music,Manhattan
Noise - Residential,9/23/2019,8:04:12,40.61281076,-74.06225611,Loud Television,Staten Island
Noise - Residential,9/23/2019,22:48:45,40.68327525,-73.95653152,Loud Music/Party,Brooklyn
Noise - Vehicle,9/23/2019,17:51:35,40.71189421,-73.81482961,Car/Truck Music,Queens
Noise - Residential,9/22/2019,21:41:54,40.60381866,-74.01121071,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/22/2019,22:11:28,40.8211974,-73.89785267,Loud Music/Party,Bronx
Noise - Street/Sidewalk,9/22/2019,23:24:40,40.84473159,-73.89292638,Loud Music/Party,Bronx
Noise - Park,9/23/2019,21:36:59,40.59567167,-73.98506021,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/23/2019,23:35:51,40.82346502,-73.90157073,Loud Music/Party,Bronx
Noise - Vehicle,9/22/2019,20:17:41,40.73938048,-74.00994165,Engine Idling,Manhattan
Noise - Residential,10/19/2019,23:36:03,40.71537921,-73.74048799,Loud Music/Party,Queens
Noise - Street/Sidewalk,9/23/2019,22:48:08,40.7188661,-74.01084406,Loud Music/Party,Manhattan
Noise - Commercial,9/23/2019,1:07:29,40.72639229,-73.98988711,Loud Music/Party,Manhattan
Noise - Vehicle,9/23/2019,22:44:48,40.66107148,-73.93136601,Car/Truck Music,Brooklyn
Noise - Helicopter,9/22/2019,22:13:34,40.72195913,-73.80969682,Other,Queens
Noise - Helicopter,9/23/2019,15:26:31,40.72195913,-73.80969682,Other,Queens
Noise - Residential,9/23/2019,0:48:03,40.79013851,-73.9709757,Banging/Pounding,Manhattan
Noise - Commercial,9/22/2019,11:57:27,40.76455908,-73.97778077,Banging/Pounding,Manhattan
Noise - Street/Sidewalk,9/22/2019,22:37:58,40.85387267,-73.90363315,Loud Music/Party,Bronx
Noise - Street/Sidewalk,10/19/2019,3:34:06,40.86551475,-73.92446647,Loud Music/Party,Manhattan
Noise - Residential,9/22/2019,23:28:40,40.67941963,-73.80257507,Loud Music/Party,Queens
Noise - Residential,9/24/2019,1:50:55,40.75279812,-73.87256242,Loud Music/Party,Queens
Noise - Street/Sidewalk,9/23/2019,8:13:12,40.68530816,-73.87598698,Loud Music/Party,Brooklyn
Noise - Residential,9/22/2019,19:34:31,40.87422023,-73.90496686,Loud Music/Party,Bronx
Noise - Residential,9/23/2019,0:06:23,40.6961755,-73.94937913,Loud Television,Brooklyn
Noise - Residential,9/22/2019,11:57:46,40.84754647,-73.9356483,Banging/Pounding,Manhattan
Noise - Helicopter,9/22/2019,21:59:40,40.72195913,-73.80969682,Other,Queens
Noise - Residential,9/22/2019,23:14:56,40.79761017,-73.96312413,Loud Music/Party,Manhattan
Noise - Residential,11/5/2019,23:03:40,40.6384345,-73.94532618,Loud Television,Brooklyn
Noise - Vehicle,9/23/2019,19:18:57,40.84529999,-73.93826002,Car/Truck Music,Manhattan
Noise - Vehicle,9/22/2019,20:00:47,40.68323959,-73.9438905,Car/Truck Music,Brooklyn
Noise - Vehicle,9/22/2019,20:39:32,40.84342648,-73.91426328,Car/Truck Music,Bronx
Noise - Residential,9/22/2019,20:43:42,40.61033636,-73.95926581,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/23/2019,22:14:26,40.8319002,-73.9285627,Loud Music/Party,Bronx
Noise - Street/Sidewalk,9/22/2019,21:27:24,40.8727421,-73.90317552,Loud Music/Party,Bronx
Noise - Residential,9/22/2019,23:42:27,40.72922467,-73.79692886,Loud Music/Party,Queens
Noise - Residential,9/23/2019,22:21:58,40.72137871,-73.85609602,Banging/Pounding,Queens
Noise - Street/Sidewalk,9/23/2019,21:58:19,40.83419169,-73.94852608,Loud Talking,Manhattan
Noise - Street/Sidewalk,9/22/2019,21:13:13,40.85371678,-73.92680056,Loud Music/Party,Manhattan
Noise - Residential,11/5/2019,19:09:15,40.82695694,-73.93799881,Banging/Pounding,Manhattan
Noise - Commercial,9/23/2019,1:12:51,40.702909,-73.92962062,Loud Talking,Brooklyn
Noise - Residential,11/24/2019,2:21:38,40.76218883,-73.86612619,Loud Music/Party,Queens
Noise - Residential,9/23/2019,16:48:32,40.68844537,-73.87592706,Loud Music/Party,Brooklyn
Noise - Vehicle,9/22/2019,21:58:30,40.73009935,-73.81090754,Car/Truck Horn,Queens
Noise - Residential,9/22/2019,17:35:23,40.63321688,-74.09283447,Loud Music/Party,Staten Island
Noise - Residential,9/22/2019,12:55:24,40.69460843,-73.92898027,Loud Talking,Brooklyn
Noise - Residential,9/23/2019,21:39:46,40.68844537,-73.87592706,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/22/2019,18:12:12,40.6425111,-74.018096,Loud Music/Party,Brooklyn
Noise - Residential,9/23/2019,15:57:49,40.70285295,-73.9194789,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,9/23/2019,11:30:09,40.73354299,-73.86015071,Loud Music/Party,Queens
Noise - Residential,9/22/2019,23:27:44,40.69478477,-73.9215694,Loud Music/Party,Brooklyn
Noise - Residential,9/24/2019,1:21:31,40.63544119,-73.9867411,Loud Music/Party,Brooklyn
Noise - Street/Sidewalk,11/6/2019,23:42:31,40.70380924,-73.90311793,Loud Music/Party,Queens
Noise - Vehicle,9/23/2019,19:18:57,40.84529999,-73.93826002,Car/Truck Music,Manhattan
Noise - Commercial,9/22/2019,21:20:18,40.67497485,-73.95597814,Loud Music/Party,Brooklyn
Noise - Vehicle,9/23/2019,1:07:30,40.61975409,-73.90107506,Engine Idling,Brooklyn
Noise - Residential,9/22/2019,22:03:30,40.75394,-73.88296968,Loud Music/Party,Queens
Noise - Street/Sidewalk,9/23/2019,11:41:23,40.71416466,-74.00630903,Loud Music/Party,Manhattan
Noise - Street/Sidewalk,9/23/2019,0:08:08,40.83666177,-73.91561635,Loud Music/Party,Bronx
Noise - Residential,9/23/2019,4:12:59,40.83951512,-73.88842087,Banging/Pounding,Bronx
Noise - Residential,9/23/2019,19:41:10,40.85589944,-73.86866682,Banging/Pounding,Bronx
Noise - Residential,9/23/2019,23:35:38,40.75940015,-73.96147401,Banging/Pounding,Manhattan
